name,website,address,latitude,longitude,description,phone
Barre Farmers Market,,Barre Washington Vermont 05641,44.194021,-72.498436,,
Bellows Falls Farmers Market,http://www.bffarmersmarket.com/,Bellows Falls Windham Vermont 05101,43.136475,-72.44462,,
Bethel Farmers Market,,Bethel Windsor Vermont 05089,43.8444,-72.6461,,
Bradford Farmers Market,http://https://www.facebook.com/BradfordFarmersMarket,Bradford Orange Vermont 05033,43.98517,-72.12231,,
Brandon Farmers Market,,Brandon Rutland Vermont 05733,43.79794,-73.08736,,
Brattleboro Area Farmers' Market,http://www.brattleborofarmersmarket.com,Brattleboro Windham Vermont 05302,42.849777,-72.588279,,
Bristol Farmers Market,http://www.bristolfarmersmarket.org,Bristol Addison Vermont 05443,44.133497,-73.079252,,
Burlington Farmers' Market,http://www.burlingtonfarmersmarket.org,Burlington Chittenden Vermont 05401,44.476268,-73.209329,,
Caledonia Farmers Market Association,http://sites.google.com/site/caledoniafarmersmarket,Danville Caledonia Vermont 05828,44.410348,-72.1661,,
Capital City Farmers Market,http://www.montpelierfarmersmarket.com/,Montpelier Washington Vermont 05601,44.260075,-72.587395,,
Capital City Farmers Market,http://www.montpelierfarmersmarket.com/,Montpelier Washington Vermont 05602,44.2605026,-72.5772165,,
Castleton Village Farmers' Market,,Castleton Rutland Vermont 05735,43.6116,-73.1779,,
Champlain Islands Farmers Market,http://www.champlainislandsfarmersmarket.weebly.com,South Hero Grand Isle Vermont 05486,44.66183,-73.3224,,
Chelsea Farmers' Market,http://www.facebook.com/chelseafarmersmarket,Chelsea Orange Vermont 05038,43.98878,-72.44747,,
Chester Farmers Market,,Chester Windsor Vermont 05143,43.1976,-72.5053,,
Craftsbury Common Market,,Craftsbury Common Orleans Vermont 05826,44.6535,-72.3834,,
Danville Farmers Market,http://sites.google.com/site/caledoniafarmersmarket/,Danville Caledonia Vermont 05828,44.4108,-72.1396,,
"Derby Farmer's Market, Derby Vermont",http://derbyfarmersmarket.org,Derby Orleans Vermont 05829,44.951193,-72.140694,,
Fair Haven Farmers Market,,Fair Haven Rutland Vermont 05743,43.594,-73.2665,,
Five Corners Farmers Market,http://www.5cornersfarmersmarket.com,Essex Junction Chittenden Vermont 05452,44.4919602,-73.1104355,,
Fletcher Allen's Farmers' Market,,Burlington Chittenden Vermont 05401,44.4789,-73.1955,,
Greensboro Farmers' Market,,Greensboro Orleans Vermont 05841,44.57907,-72.29545,,
Groton Growers Farmers' Market,,groton Caledonia Vermont 05046,44.211526,-72.197395,,
Hardwick Farmers' Market,,Hardwick Caledonia Vermont 05843,44.50661,-72.37151,,
Hartland Farmers' Market,http://www.hartlandfarmersmarket.com,Hartland Windsor Vermont 05048,43.539636,-72.399752,,
Hinesburg Lions Farmers' Market,,Hinesburg Chittenden Vermont 05461,44.330208,-73.110718,,
Jericho Farmers' Market at Mills Riverside Park,http://twotownsonline.org (Under INFO on the front page),Jericho Chittenden Vermont 05465,44.516369,-72.948146,,
Johnson Farmers Market,,Johnson Lamoille Vermont 05656,44.6348,-72.6783,,
Lamoille Valley Year Round Farmers Artisan Market,http://www.farmersartisanmarket.com,Morrisville Lamoille Vermont 05661,44.5617,-72.5984,,
Ludlow Farmers Market Inc.,http://www.ludlowfarmersmarket.org,Ludlow Windsor Vermont 05149,43.3968,-72.689924,,
Lunenburg Farmers' Market,http://www.topofthecommon.org/6.html,Lunenburg Essex Vermont 05906,44.463421,-71.682894,,
Lyndonville Farmers' Market,http://www.lyndonfarmersmarket.com,Lyndonville Caledonia Vermont 05851,44.5392,-72.003,,
Mettowee Valley Farmers' Market,http://mettoweevalleyfarmersmarket.wordpress.com,North Rupert Rutland Vermont 05761,43.30585,-73.155942,,
Middlebury Farmers Market,http://www.middleburyfarmersmarket.com,Middlebury Addison Vermont 05733,44.0722,-72.6607,,
Milton Grange Farmers Market,,Milton Chittenden Vermont 05468,44.6279,-73.1167,,
Morrisville Farmers Market,,Morrisville Lamoille Vermont 05661,44.5499,-72.605,,
Mt Holly Farmers Market,,Mt. Holly Rutland Vermont 05730,43.41393,-72.82047,,
Mt. Tom Farmers' Market,http://www.mttomfarmersmarket.com,WOODSTOCK Windsor Vermont 05091,43.637209,-72.52455,,
Newport Farmers Market,,Newport Orleans Vermont 05855,44.93696,-72.208938,,
North Troy Farmers Market,,North Troy Orleans Vermont 05855,44.9945,-72.3998,,
Northeast Kingdom Winter Market,,Lyndonville Caledonia Vermont 05842,44.5871,-72.246,,
Northwest Farmers' Market,http://www.northwestfarmersmarket.org,Saint Albans Franklin Vermont 05455,44.8112,-73.083,,
Norwich Farmers Market,http://www.norwichfarmersmarket.org/,Norwich Windsor Vermont 05055,43.69878,-72.31712,,
Peacham (VT) Farmers Market,http://peacham.net/market/,Peacham Caledonia Vermont 05862,44.330439,-72.171428,,
Poultney Farmers Market,http://vtfarmersmarket.org,Poultney Rutland Vermont 05764,43.517755,-73.236105,,
Putney Farmers' Market,http://putneyfarmersmarket.org,Putney Windham Vermont 05346,42.990681,-72.540909,,
Randolph Farmers Market,,Randolph Orange Vermont 05060,43.9303,-72.656,,
Richford Farmers' Market,,Richford Franklin Vermont 05476,44.996307,-72.672136,,
Richmond Farmers Market,http://www.richmondfarmersmarketvt.org,Richmond Chittenden Vermont 05477,44.4015,-72.9972,,
Shelburne Farmers Market,http://sbpavt.org,Shelburne Chittenden Vermont 05482,44.3783,-73.2276,,
South Burlington Farmer's Market at Healthy Living Market,http://healthylivingmarket.com,South Burlington Chittenden Vermont 05401,44.4628,-73.18,,
South Royalton Farmers' Market,,South Royalton Windsor Vermont 05068,43.819557,-72.521224,,
St. Albans Northwest Farmers Market,,St. Albans Franklin Vermont 05821,44.8575,-72.9121,,
St. Johnsbury Caledonia Farmers Market,,St. Johnsbury Caledonia Vermont 05821,44.4647,-72.1022,,
Stowe Farmers Market,http://stowevtfarmersmarket.com,Stowe Lamoille Vermont 05672,44.47342,-72.71127,,
The Dorset Farmers Market,http://www.dorsetfarmersmarket.com,Dorset Bennington Vermont 05251,43.2318,-73.0784,,
The Dorset Farmers Market,http://www.dorsetfarmersmarket.com,Dorset Bennington Vermont 05251,43.2472,-73.0921,,
The Manchester Farmers Market,http://www.manchestermarket.org,Manchester Center Bennington Vermont 05255,43.1775,-73.05288,,
The West River Farmers Market,http://www.westriverfarmersmarket.com,Londonderry Windham Vermont 05148,43.226776,-72.808105,,
The Wilmington Farmers' Market,,Wilmington Windham Vermont 05363,42.8682,-72.8707,,
Townshend Common Farmers Market,http://www.postoilsolutions.org/index.php?ID=33,Townshend Windham Vermont 05353,43.0465,-72.6686,,
Vergennes Farmers Market,,Vergennes Addison Vermont 05491,44.1216,-73.2932,,
Vermont Farmers Market,http://vtfarmersmarket.org,Rutland Rutland Vermont 05701,43.606686,-72.981105,,
Waitsfield Farmers Market,http://waitsfieldfarmersmarket.com,Waitsfield Washington Vermont 05673,44.18334,-72.83835,,
Washington Farmers Market,,Washington Washington Vermont 05675,44.0833,-72.4219,,
Waterbury Farmers Market,http://www.waterburyfarmersmarket.com,Waterbury Washington Vermont 05677,44.3393474,-72.7578619,,
Walloomsac Farmers' Market,http://www.walloomsac.org,Bennington Bennington Vermont 05201,42.881074,-73.199619,,
Westford Farmers Market,http://www.westfordfarmersmarketvt.org,Westford Chittenden Vermont 05494,44.6117,-73.0103,,
Westmore Farmers' Market,,Westmore Orleans Vermont 05867,44.771401,-72.054605,,
Williston Farmers Market,http://www.willistonfarmersmarket.com,Willston Chittenden Vermont 05495,44.4392,-73.0756,,
Willoughby Lake Farmers & Artisans Market,http://www.localharvest.org/willoughby-lake-farmers-artisans-market-M44303,Westmore Orleans Vermont 05860,44.7659,-72.0524,,
Wilmington Farmers Market,,Searsburg Windham Vermont 05363,42.8894,-72.9633,,
Windsor Farmers Market,http://windsorfarmersmarket@blogspot.com,Windsor Windsor Vermont 05089,43.480795,-72.388144,,
Winooski Farmers' Market,,Winooski Chittenden Vermont 05404,44.4896,-73.1858,,
Winter Farmers' Market,http://www.postoilsolutions.org/index.php?ID=11,Brattleboro Windham Vermont 05301,42.8532177,-72.5584212,,
Woodstock Market on the Green,,Woodstock Windsor Vermont 05091,43.626,-72.5168,,
