name,website,address,latitude,longitude,description,phone
American Museum of Fly Fishing,http://www.amff.com/," 4104 Main Street, Manchester, VT 05254",,,,802-362-3300
American Precision Museum,http://www.americanprecision.org/,"196 Main Street, PO Box 679, Windsor, Vermont 05089 ",,,,802.674.5781
Birds of Vermont Museum,http://www.birdsofvermont.org/,"900 Sherman Hollow Road, Huntington, VT 05462 ",,,,(802) 434-2167
Brattleboro Museum & Art Center,http://www.brattleboromuseum.org/,"10 Vernon Street, Brattleboro, VT 05301",,,,
Chaffee Art Center; Rutland Area Art Association,http://www.chaffeeartcenter.org/,"16 South Main Street, Rutland, Vermont, 05701",,,,
-ECHO Lake Aquarium and Science Center ,http://www.echovermont.org/,"1 College St., Burlington VT 05401",,,,
Fairbanks Museum and Planetarium,http://www.fairbanksmuseum.org/,"1302 Main Street, St. Johnsbury, VT 05819",,,,
Burlington City Arts,http://www.burlingtoncityarts.org/,"135 CHURCH STREET, BURLINGTON, VERMONT 05401",,,,802-865-7166
Goodrich Memorial Library,http://www.goodrichlibrary.org/," 202 Main Street
Newport, VT 05855",,,, (802) 334-7902 
Lake Champlain Maritime Museum,http://www.lcmm.org/,"4472 Basin Harbor Road, Vergennes, Vermont 05491 ",,,,(802) 475-2022
Montshire Museum of Science,http://www.montshire.org/,"1 Montshire Road, Norwich, VT 05055",,,,802-649-2200
Fleming Museum,http://www.uvm.edu/~fleming/," 61 Colchester Avenue, Burlington, Vermont 05405 USA",,,,
Shelburne Farms,http://www.shelburnefarms.org/,"1611 Harbor Road, Shelburne, VT 05482",,,,802-985-8686
Shelburne Museum,http://shelburnemuseum.org/,"6000 Shelburne Road Shelburne, VT",,,,
Vermont Marble Museum,http://www.vermont-marble.com/,"52 MAIN ST, Proctor, Vermont 05765",,,,1-800-427-1396
Vermont Ski and Snowboard Museum,http://www.vtssm.com/,vermont ski museum 1 south main street stowe vt 05672,,,, 802-253-9911
