name,website,address,latitude,longitude,description,phone
Bromley Mountain,http://www.bromley.com/,"3984 Vermont Route 11, Peru, VT 05152",,,Vermonts Sun Mountain,
Cochran Ski Area,http://www.cochranskiarea.com/,"910 Cochran Road
Richmond, VT 05477",,,,802-434-2479
Burke Mountain,http://www.skiburke.com/,"223 Sherburne Lodge Road East Burke, VT 05832",,,The home of True North–the way all Vermont skiing and riding was meant to be.,(802) 626-7300
Sugarbush Resort,www.sugarbush.com/,"1840 Sugarbush Access Road Warren, VT 05674",,,"Sugarbush is a modern four-season resort with six distinct peaks of unleashed potential, two uncrowded mountain areas, 2000 acres of backcountry.",(800) 537-8427
Okemo Mountain Resort,http://www.okemo.com/,"77 Okemo Ridge Road Ludlow, VT 05149",,,"Offers skiing and snow-boarding, PSIA certified ski school, on site accommodations, a golf course, and an online ski and souvenir shop.",(802) 228-4041
Jay Peak,http://www.jaypeakresort.com/,"830 Jay Peak Village Road Jay, VT 05859",,,Jay Peak is a 4 season resort in Northern Vermont.,(802) 988-2611
Bolton Valley Resort,http://www.boltonvalley.com/," 4302 Bolton Valley Access Rd, Bolton Valley, VT 05477",,,,877-9BOLTON 
Magic Mountain,http://www.magicmtn.com/,"420 Magic Mountain Access Road, Londonderry, VT 05148",,,"Magic Mountain, located in southern Vermont, offers the area's best downhill skiing, riding and tubing terrain, in a classic New England atmosphere.",802.824.5645 
Pico Mountain,http://www.picomountain.com/,"Pico Mountain
73 Alpine Drive
Killington VT
05751",,,,1.866.667.PICO
Smugglers' Notch Resort,http://www.smuggs.com/,"Smugglers' Notch Resort
4323 Vermont Route 108 South
Smugglers' Notch, VT 05464-9537",,,,(877) 465-9311
Mount Snow,http://mountsnow.com/,"39 Mount Snow Road, West Dover, Vermont 05356",,,"The resort has 135 trails covering 633 acres serviced by 26 lifts. Offers resort lodging, dining and entertainment as well as numerous kids programs.",800-245-SNOW 
Stowe Mountain Resort,http://www.stowe.com,"7416 Mountain Road, Stowe, VT 05672",,,,1-800-253-4754 
Suicide Six,www.woodstockinn.com/,"247 Stage Road Pomfret, VT 05067
",,,,(802) 457-6661
Mad River Glen,http://www.madriverglen.com/,"    57 Schuss Pass Fayston, VT 05673",,,"Mad River Glen, Fayston, Vermont : High in the mountains of Vermont, there is a ski area like no other. A place where skiing is still a sport, not an industry.",(802) 496-3551
Stratton Mountain Resort,http://www.stratton.com/,"43 VT Route 30, Bondville, VT 05340 ",43.144222,-72.874969,"Stratton Mountain Ski Resort in Vermont, New England is a top ski and snowboard resort, and summer and winter getaway. ",800-787-2886)
Killington Resort,http://www.killington.com/," 4763 Killington Road, Killington, VT 0575",,,,
